issue_id,severity,vendor,affected_files,finding,risk,required_rule,status
A001,critical,Velvet Media B.V.,Both files in the Velvet folder,The files are byte for byte duplicates of the AEBN files.,Velvet income could be omitted or AEBN income could be counted twice.,Exclude the supplied Velvet files. Obtain the expected 2603019 RFI New Media Group SPECS workbook and PDF.,open
A002,high,Sonifi Solutions,Sonifi Royalties April 2025 - January 2026.xlsx,Cell P24 uses O11 instead of O24.,MetArt allocation is wrong and another studio package allocation is reused.,Do not use the workbook as an approved allocation engine. Correct and retest the model after the payment policy is approved.,open
A003,high,Pulse Distribution,All 20 April 2026 workbooks,"Historical postings use the final cumulative Summary balance, not April sales.",Using current month sales can materially overstate or understate payable amounts.,Post the final positive balance. Keep negative balances as carryforwards and suppress the posting.,rule_defined
A004,high,AERONA LLC,Four raw platform workbooks,Raw files omit Unlimited revenue.,Summing raw commission totals understates the period.,Use aecash_item_report.xlsx as the accounting source. Raw files are evidence only.,rule_defined
A005,high,Erika Lust,nmg q1 2026.xlsx,"The detailed table omits Viv Thomas, while the producer summary includes 143.516114333329 EUR for Viv Thomas.",Studio totals are understated if detail is treated as complete.,Use the producer summary for posting totals. Mark the detail as incomplete.,rule_defined
A006,high,All Media Group,NMG_Payout Report 05062026.xlsx,Yellow flat fee rows are marked for manual handling.,Automated posting of the workbook total duplicates or misroutes manual invoices.,Route highlighted rows to manual review. Automate only nonhighlighted revenue share rows.,rule_defined
A007,medium,WMM Holdings LLC,AEBN workbook and portal screenshot,"Workbook line totals equal 7097.60 USD, while the portal screenshot states 7097.61 USD.",A one cent reconciliation difference remains.,"Use title totals for allocation, portal amount as declared payable, and post a documented one cent reconciliation adjustment if accounting requires exact portal balance.",review
A008,medium,WMM Holdings LLC,AEBN workbook,"Displayed PPM, Rental, and Download components sum 0.46 USD above the Total column due to row rounding.",Rebuilding Total from displayed components changes the report amount.,Use the row Total as authoritative. Treat component difference as source rounding.,rule_defined
A009,medium,Erigo / Load,Erigo.pdf,The narrative includes a malformed line that labels 461.85 as GBP before also stating 461.85 USD.,Currency can be assigned incorrectly.,Use TOTAL USD PAYMENT 461.85 and require a currency consistency check.,review
A010,medium,OMNet AG,All four xlsx files,The workbooks have embedded report images and no useful cell data.,A normal spreadsheet parser returns empty reports.,"Extract embedded images, parse them as documents, and require total reconciliation.",rule_defined
A011,medium,HPG Production,February 2026 Netgem Team Skeet,The spreadsheet exists but its paired PDF is missing.,The optional second source check is unavailable.,"Use the spreadsheet. Record the missing verification copy as a warning, not a blocker.",rule_defined
A012,medium,Gamma Broadcast Group Inc. Licensing,EENT Inc January 2026 workbook,"The payable is a running balance after payments and a wire fee, not current month royalties.",Current period income and payable balance can be confused.,"Store period earned, running balance, fee, and payable separately.",rule_defined
A013,medium,1979 Media,RELEVE VOD 2026 Q1 workbook,"The worksheet name says January to February, while the report period cell says January to March.",The report period can be tagged incorrectly.,"Read the period from the report cell, not the worksheet name.",rule_defined
A014,medium,Girlfriends Films,2022 VIV THOMAS REPORTS.xlsx,Raw QuickBooks sales require a 65 percent profit share calculation.,Posting raw sales overstates the payable.,Apply the 65 percent rate and reconcile to the highlighted bottom total.,rule_defined
A015,medium,New Sensations,PURE 4-26.xlsx and VISN 4-26.xlsx,Expense worksheets reduce the payable after the 30 percent distribution fee.,Ignoring expenses overstates the payable.,Store expenses as separate lines and deduct them from the base royalty.,rule_defined
A016,medium,Level5 Media GmbH,MA.png,The image is a 2025 payment screenshot unrelated to the supplied 2026 credit note.,Wrong period and amount can be used.,Exclude the image from the 2026 report bundle.,rule_defined
A017,high,All vendors,Historical Airtable data model,"The ten field output loses title, quantity, channel, currency, gross, fees, balances, source location, and validation evidence.",The normalized record cannot be audited or recalculated.,"Use the proposed report JSON as the system record, then generate the ten posting fields as an export view.",design_defined
A018,medium,All vendors,Sales Report Column Glossary CSV,The glossary contains useful terminology but several conclusions are incomplete or outdated.,Automation decisions can be based on a secondary summary instead of source evidence.,"Use source files first, historical postings second, the mapping workbook third, and the glossary only as supporting notes.",rule_defined
