file,studio_heading,summary_label,summary_row,final_due_usd,rounded_due_usd,april_sales_usd,april_sales_quantity,april_collections_usd,april_collections_quantity,expense_lines_total_usd,payment_lines_total_usd,posting_policy,historical_airtable_match_count,historical_airtable_amounts,validation
BM Apr2026.xlsx,BARE MAIDENS- NEW MEDIA,Balance  Due Pulse,25,16.705,16.71,37.5,16,18,6,-4240.59,-4625.13,create_positive_posting,0,,rounding_review
Carnal Media 2 Apr2026.xlsx,CARNAL MEDIA 2 / NMG (Starting June 2024),Net Royalty Due,25,244.105,244.11,421,36,378,26,-150.9,-14771.97,create_positive_posting,1,244.11,matched_historical_posting
Carnal Media Apr2026.xlsx,CARNAL MEDIA/ NMG (Starting June 2024),Net Royalty Due,34,6331.6285,6331.63,12659,1155,9628.6,700,-2880.04,-208276.086,create_positive_posting,1,6331.63,matched_historical_posting
DW - Apr2026.xlsx,"Davey Wavey, Inc. - NMG (starting April 2024)",NET ROYALTY DUE,24,49.661,49.66,36.5,12,26.38,11,-4781.43,-13276,create_positive_posting,1,49.66,matched_historical_posting
FKing Apr2026.xlsx,,Net Royalty Due,22,1109.279,1109.28,1542.25,291,,,-470.34,-35462.47,create_positive_posting,1,1109.28,matched_historical_posting
JRCP Apr2026.xlsx,JAYROCK COSPIMPS - NEW MEDIA,Net Royalty Due,26,25.05,25.05,12,4,36,15,-18.75,-2657.2,create_positive_posting,1,25.05,matched_historical_posting
JRock Apr2026.xlsx,JAYROCK - NEW MEDIA,Net Royalty Due,26,39.665,39.67,,,,,-345.8,-25521.41,create_positive_posting,0,,rounding_review
Karups Apr2026.xlsx,KARUPS NEW - NEW MEDIA GROUP,Balance Due Pulse,26,1757.0005,1757.0,6632.75,1582,7754.52,1786,-347681.48,-86400.4,create_positive_posting,1,1757.0,matched_historical_posting
Lustery Apr2026.xlsx,LUSTERY - NEW MEDIA GROUP,Balance Due Pulse,23,763.931,763.93,1532.75,262,1049.93,250,-183.14,0,create_positive_posting,1,763.93,matched_historical_posting
MAX Apr2026.xlsx,MATURE XXX - NEW MEDIA GROUP,Net Royalty Due,26,3113.52,3113.52,3679.5,684,4199.79,1067,-2477.69,-214307.11,create_positive_posting,1,3113.52,matched_historical_posting
MormonB G BN Apr2026.xlsx,"BAREBACK NETWORK, MISSIONARY BOYZ, SISTER WIVES - NEW MEDIA GROUP",Net Royalty Due,26,5833.8325,5833.83,9386.75,1913,8194.45,810,-14476.79,-1312453.59,create_positive_posting,1,5833.83,matched_historical_posting
NSFW Apr2026.xlsx,NOT SAFE FOR WORK - NEW MEDIA GROUP,Net Royalty Due,26,13.22,13.22,0,0,19,19,-2900.84,-239662.66,create_positive_posting,1,13.22,matched_historical_posting
NVG Apr2026.xlsx,NET VIDEO GIRLS - NEW MEDIA,Net Royalty Due,26,-1305.8785,-1305.88,1900,726,257.31,105,-221602.43,-213174.14,carryforward_no_posting,0,,negative_balance_correctly_suppressed
NubileFilms Apr2026.xlsx,"NUBILE FILMS  - NF MEDIA, INC.",Net Royalty Due,26,3584.006,3584.01,6236,1305,4920.97,1148,-160031.15,-488091.83,create_positive_posting,1,3584.01,matched_historical_posting
Nubiles.net Apr2026.xlsx,NUBILES.net/Nubiles Porn/Nubile Busty - XFC Inc.,Net Royalty Due,25,9020.2355,9020.24,18612.5,6011,12403.48,3226,-376776.91,-1061635.29,create_positive_posting,1,9020.24,matched_historical_posting
PSP Apr2026.xlsx,,Net Royalty Due,33,1625.878,1625.88,1001,308,2168.22,780,-11630.94,-408846.19,create_positive_posting,1,1625.88,matched_historical_posting
Paper Street Apr2026.xlsx,PAPER STREET - NEW MEDIA,Net Royalty Due,29,14341.05,14341.05,28327.75,8941,19637.1,4987,-223077.68,-3246127.43,create_positive_posting,1,14341.05,matched_historical_posting
PornPros New Apr2026.xlsx,PORN PROS  - SSC GROUP - AMA Multimedia,Net Royalty Due,30,9201.8685,9201.87,16119.75,4319,12713.52,3207,-82859.55,-3322957.366,create_positive_posting,1,9201.87,matched_historical_posting
ProS Apr2026.xlsx,PROPERTY SEX - NEW MEDIA GROUP,Net Royalty Due,26,764.1475,764.15,413,154,1082.25,328,-37939.23,-115970.31,create_positive_posting,1,764.15,matched_historical_posting
TrueX2 Apr2026.xlsx,TRUE X2 - NEW MEDIA GROUP,Net Royalty Due,26,4.173,4.17,190,75,3,1,-257.03,-25457.95,create_positive_posting,1,4.17,matched_historical_posting
