canonical_studio,parent_studio,commission_rate,vertical
1Kaylee LLC,1Kaylee LLC,0.35,
1Kaylee LLC:5K Porn,1Kaylee LLC,0.35,
1Kaylee LLC:5K Teens,1Kaylee LLC,0.35,
413 Inc,413 Inc,0.35,
413 Inc:Porn Fidelity,413 Inc,0.35,
413 Inc:Teen Fidelity,413 Inc,0.35,
99Vids Limited,99Vids Limited,0.5,
99Vids Limited:StasyQ,99Vids Limited,0.5,
Aila Donovan Inc.,Aila Donvan Inc.,0.3,
Alina Kuchina,Alina Kuchina,0.35,
Alan Raz Photography,Alan Raz Photography,0.5,
Alan Raz Photography:Bare Maidens,Alan Raz Photography,0.5,
ALS Scan Inc.,ALS Scan Inc.,0.3,
ALS Scan Inc.:Fresh Films,ALS Scan Inc.,0.3,
AMA Multimedia LLC,AMA Multimedia LLC,0.25,
AMA Multimedia LLC:DriveShaft,AMA Multimedia LLC,0.25,
AMA Multimedia LLC:Man Royale,AMA Multimedia LLC,0.25,
AMA Multimedia LLC:Pass Through,AMA Multimedia LLC,0,
AMA Multimedia LLC:Porn Pros,AMA Multimedia LLC,0.25,
AMA Multimedia LLC:Pure Passion,AMA Multimedia LLC,0.25,
AMA Multimedia LLC:Vision Films,AMA Multimedia LLC,0.25,
Aylo Premium Ltd,Aylo Premium Ltd,0.1,
Aylo Premium Ltd:Brazzers,Aylo Premium Ltd,0.1,
Aylo Premium Ltd:Men,Aylo Premium Ltd,0.1,
Aylo Premium Ltd:Reality Kings,Aylo Premium Ltd,0.1,
Aylo Premium Ltd:Transangel,Aylo Premium Ltd,0.1,
Aylo Premium Ltd:Why Not Bi,Aylo Premium Ltd,0.1,
Bellesa Productions Inc,Bellesa Productions Inc,0.3,
Bellesa Productions Inc:Bellesa Films,Bellesa Productions Inc,0.3,
BLT Innovations LLC,BLT Innovations LLC,0.35,
BLT Innovations LLC:NSFW Films,BLT Innovations LLC,0.35,
Carnal Media LLC,Carnal Media LLC,0.35,
Carnal Media LLC:JSE,Carnal Media LLC,0.35,
Celestial Productions Inc,Celestial Productions Inc,0.25,
Celestial Productions Inc:Lethal Hardcore,Celestial Productions Inc,0.25,
Charged Media LLC,Charged Media LLC,0.25,
Charged Media LLC:Bareback Network,Charged Media LLC,0.25,
Charged Media LLC:Missionary Boyz,Charged Media LLC,0.25,
Charged Media LLC:Mormon Boyz,Charged Media LLC,0.25,
Charged Media LLC:Mormon Girlz,Charged Media LLC,0.25,
Cox Productions,Cox Productions,0.25,
Cox Productions:Concoxxxion,Cox Productions,0.25,
Davey Wavey Inc.,Davey Wavey Inc.,0.35,
Davey Wavey Inc.:Himeros,Davey Wavey Inc.,0.35,
DirectTech Inc,DirectTech Inc,0.25,
DirectTech Inc:Blacks On Blondes,DirectTech Inc,0.25,
DirectTech Inc:Dog Fart,DirectTech Inc,0.25,
DirecTech Inc:Dog Fart Gay,DirecTech Inc,0.25,
EA Distribution Inc.,EA Distribution Inc.,0.25,
EA Distribution Inc.:Elegant Angel,EA Distribution Inc.,0.25,
EENT Inc.,EENT Inc.,0.35,
EENT Inc.:BoyFun,EENT Inc.,0.35,
EENT Inc.:KA,EENT Inc.,0.2,
EENT Inc.:Karups,EENT Inc.,0.35,
EENT Inc.:Pass Through,EENT Inc.,0,
EFC GmbH,EFC GmbH,0.35,
EFC GmbH:Lustery,EFC GmbH,0.35,
Emeraude Media LLC,Emeraude Media LLC,0.35,
Emeraude Media LLC:Emerald Triangle Girls,Emeraude Media LLC,0.35,
Exedia Ltd,Exedia Ltd,0.5,
Exedia Ltd:Wife Bucket,Exedia Ltd,0.5,
Eyecash Inc.,Eyecash Inc.,0.35,
Eyecash Inc.:Filthy Kings,Eyecash Inc.,0.35,
G MAX Division SRO,"G MAX Division, s.r.o.",0.35,
G MAX Division SRO:Puffy Network,"G MAX Division, s.r.o.",0.35,
GGW Group LLC,GGW Group LLC,0,
GGW Group LLC:GGW,GGW Group LLC,0,
Immoral Productions LLC,Immoral Productions LLC,0.25,
Immoral Productions LLC:Frat House,Immoral Productions LLC,0.25,
Immoral Productions LLC:Immoral,Immoral Productions LLC,0.25,
Immoral Productions LLC:Sin To Win,Immoral Productions LLC,0.25,
Industry Plan LLC,Industry Plan LLC,0.35,
Industry Plan LLC:Edward James,Industry Plan LLC,0.35,
Industry Plan LLC:Johnny Rapid,Industry Plan LLC,0.35,
Jayrock Media Inc.,Jayrock Media Inc.,0.35,
Jayrock Media Inc.:Jay Rock Productions,Jayrock Media Inc.,0.35,
JJexperiencebcn2018.sl,JJexperiencebcn2018.sl,0.35,
JJexperiencebcn2018.sl:PornBCN,JJexperiencebcn2018.sl,0.35,
Joy Media Corp.,Joy Media Corp.,0.25,
Joy Media Corp.:Bizarre Video,Joy Media Corp.,0.5,
Joy Media Corp.:Reality Studio,Joy Media Corp.,0.5,
La Touraine Inc.,La Touraine Inc.,0.25,
La Touraine Inc.:Naughty America,La Touraine Inc.,0.25,
Liked Media LLC,Liked Media LLC,0.25,
Liked Media LLC:Liked Girls,Liked Media LLC,0.5,
Linked Ventures AG,Linked Ventures AG,0.25,
Linked Ventures AG:LetsDoeIt,Linked Ventures AG,0.25,
Little Widge Inc.,Little Widge Inc.,0.35,
Little Widge Inc.:Deep Lush,Little Widge Inc.,0.35,
Love Her Feet,Oktogon Media Inc.,0.35,
Lust Productions S.L.,Lust Productions S.L.,0.4,
Lust Productions S.L.:Lust Cinema,Lust Productions S.L.,0.4,
LVL Media LLC,LVL Media LLC,0.25,
LVL Media LLC:Fuck Champ Robinson,LVL Media LLC,0.25,
Medina II Inc.,Medina II Inc.,0.25,
Medina Inc.,Medina Inc.,0.25,
Medina Inc..:Jules Jordan,Medina Inc.,0.25,
Millennium TGA Inc,Millennium TGA Inc,0.35,
Millennium TGA Inc:Grooby,Millennium TGA Inc,0.35,
NAMGA Member LLC,NAMGA Member LLC,0.25,
NAMGA Member LLC:BAEB,NAMGA Member LLC,0.25,
NAMGA Member LLC:Pass Through,NAMGA Member LLC,0,
Neptune Media LLC,Neptune Media LLC,0.25,
Neptune Media LLC:MYLF,Neptune Media LLC,0.25,
New Destiny Internet Group LLC,New Destiny Internet Group LLC,0.25,
New Destiny Internet Group LLC:Homegrown,New Destiny Internet Group LLC,0.25,
NF Media Inc,NF Media Inc,0.25,
NF Media Inc:Nubile Films,NF Media Inc,0.275,
NMG Licensing:Pulse Distribution LLC,Pulse Distribution LLC,0.25,
NMG Parent,NMG Parent,1,
NuVision Media LLC,NuVision Media LLC,0.25,
NuVision Media LLC:Pornstar Platinum,NuVision Media LLC,0.25,
NuVision Media LLC:TransErotica,NuVision Media LLC,0.25,
NVG Mobile Group LLC,NVG Mobile Group LLC,0.5,
NVG Mobile Group LLC:Net Video Girls,NVG Mobile Group LLC,0.5,
Oktogon Media Inc.:Love Her Feet,Oktogon Media Inc.,0.35,
OLB Media LLC,OLB Media LLC,0.5,
OLB Media LLC:Guys In Sweatpants,OLB Media LLC,0.5,
OLB Media LLC:Male Revenue,OLB Media LLC,0,
Orca Flow Studios Inc.,Orca Flow Studios Inc.,0.35,
Orca Flow Studios Inc.:Property Sex,Orca Flow Studios Inc.,0.35,
Paper Street Media LLC,Paper Street Media LLC,0.25,
Paper Street Media LLC:Crave,Paper Street Media LLC,0.25,
Paper Street Media LLC:Innocent High,Paper Street Media LLC,0.25,
Paper Street Media LLC:PaperStreet,Paper Street Media LLC,0.25,
Paper Street Media LLC:Team Skeet,Paper Street Media LLC,0.25,
Penthouse World Broadcasting LLC,Penthouse World Broadcasting LLC,0,
Penthouse World Broadcasting LLC:Bang Bros,Penthouse World Broadcasting LLC,0,
Phaze1Films Incorporated,Phaze1Films Incorporated,0.25,
Phaze1Films Incorporated:Phaze1Films,Phaze1Films Incorporated,0.25,
Polona LLC,Polona LLC,0.25,
Polona LLC:AE Films,Polona LLC,0.25,
Red Light District LLC,Red Light District LLC,0.25,
Red Light District LLC:Red Light District,Red Light District LLC,0.25,
SARJ LLC,SARJ LLC,0.25,
SARJ LLC:MetArt,SARJ LLC,12.5,
SARJ LLC:SexArt,SARJ LLC,0.25,
SARJ LLC:StrapLez,SARJ LLC,0.25,
SARJ LLC:Viv Thomas,SARJ LLC,0.25,
SCTR Services LLC,SCTR Services LLC,0.25,
SCTR Services LLC:Bang!,SCTR Services LLC,0.25,
October Enterprises,October Enterprises,0.25,
October Enterprises:Holly Randall,October Enterprises,0.25,
SMM Inc.,SMM Inc.,0.35,
SMM Inc.:True X,SMM Inc.,0.35,
Spizoo LLC,Spizoo LLC,0.25,
Spizoo LLC:Raw Attack,Spizoo LLC,0.25,
Strathblaine Media Ltd,Strathblaine Media Ltd.,0.35,
Strathblaine Media Ltd:Joybear,Strathblaine Media Ltd.,0.35,
Steam Internet B.V.,Steam Internet B.V.,0.35,
Steam Internet B.V.:MatureXXX,Steam Internet B.V.,0.35,
Steam Internet B.V.:Pass Through,Stream Internet B.V.,0,
Stream Media,Stream Media,0,
Swearl LLC,Swearl LLC,0.3,
Swearl LLC:VR Bangers,Swearl LLC,0.3,
Testing Parent Studio Name:Testing Studio Brand Name,Testing Parent Studio Name,0.25,
XFC Inc,XFC Inc,0.25,
XFC Inc:Nubiles,XFC Inc,0.275,
Amanda Cypranowski,Amanda Cypranowski,0.25,
